provinceName,districtName,country,percentage
부산광역시,기장군,홍콩,5.5
부산광역시,기장군,필리핀,5.3
부산광역시,기장군,태국,4.0
부산광역시,기장군,인도네시아,4.0
부산광역시,기장군,미국,3.9
부산광역시,기장군,러시아,3.5
부산광역시,기장군,싱가포르,3.1
부산광역시,기장군,말레이시아,2.3
부산광역시,기장군,베트남,2.2
부산광역시,기장군,인도,2.0
부산광역시,기장군,독일,1.4
부산광역시,기장군,오스트레일리아,1.3
부산광역시,기장군,캐나다,1.0
부산광역시,기장군,프랑스,1.0
부산광역시,기장군,영국,0.9
부산광역시,기장군,몽골,0.6
부산광역시,기장군,멕시코,0.4
부산광역시,기장군,카자흐스탄,0.3
부산광역시,기장군,튀르키예,0.2
부산광역시,기장군,사우디아라비아,0.1
부산광역시,기장군,아랍에미리트,0.0
부산광역시,남구,대만,17.0
부산광역시,남구,중국,16.6
부산광역시,남구,기타,12.2
부산광역시,남구,일본,10.8
부산광역시,남구,미국,6.9
부산광역시,남구,필리핀,5.9
부산광역시,남구,인도네시아,4.0
부산광역시,남구,태국,3.4
부산광역시,남구,홍콩,3.3
부산광역시,남구,러시아,3.3
부산광역시,남구,베트남,2.5
부산광역시,남구,싱가포르,2.2
부산광역시,남구,인도,2.0
부산광역시,남구,독일,1.8
부산광역시,남구,말레이시아,1.6
부산광역시,남구,영국,1.3
부산광역시,남구,오스트레일리아,1.3
부산광역시,남구,캐나다,1.3
부산광역시,남구,프랑스,1.1
부산광역시,남구,몽골,0.5
부산광역시,남구,멕시코,0.4
부산광역시,남구,카자흐스탄,0.3
부산광역시,남구,튀르키예,0.3
부산광역시,남구,사우디아라비아,0.1
부산광역시,남구,아랍에미리트,0.0
부산광역시,동구,대만,21.1
부산광역시,동구,일본,15.7
부산광역시,동구,중국,10.1
부산광역시,동구,기타,8.7
부산광역시,동구,홍콩,6.1
부산광역시,동구,싱가포르,5.7
부산광역시,동구,인도네시아,4.4
부산광역시,동구,필리핀,4.3
부산광역시,동구,미국,4.2
부산광역시,동구,말레이시아,3.7
